mqtt_topic,traffic_count,attack_count,attack_rate
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4085/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3896/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/6211/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2927/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5641/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/5043/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4048/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3116/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/2443/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3906/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5121/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3897/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3075/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/1655/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4695/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/2714/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/1846/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5095/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3285/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5112/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/1451/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/1386/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2864/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3013/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3213/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/1395/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4228/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/5439/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/3095/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/4859/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4614/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/3659/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/1919/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/2239/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4893/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/4841/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4677/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/1619/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/2407/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/1664/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3815/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3842/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4309/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/1973/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4642/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/4016/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/5163/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2190/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4938/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/2958/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/3596/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/1591/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/2795/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/1641/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4624/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3080/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5651/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5578/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/2283/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4704/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/3542/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4623/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/1828/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/4823/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/2470/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/1510/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4758/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/5019/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/2389/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/3641/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/3415/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4837/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2999/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4748/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/3071/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/1481/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/1391/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/6193/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/3062/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4944/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3788/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4058/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/4924/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/1696/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/1820/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2882/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/1637/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3833/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/1945/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4739/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/5074/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/2982/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3797/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/1981/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5615/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/1572/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4129/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4801/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/1660/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4567/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2855/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3090/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/1964/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3000/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/4519/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2936/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5579/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4957/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/1484/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/1646/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3040/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2891/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/1385/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3869/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5843/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4947/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3306/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4210/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4578/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/1520/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4935/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/3650/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4975/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4833/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2226/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4917/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/5047/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3782/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4962/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4174/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5725/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/3605/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/1268/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/2256/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5023/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5698/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/1910/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4705/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3031/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5653/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5825/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/4487/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/3556/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3305/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2309/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/1358/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/4742/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4549/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/4904/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3231/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4759/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3492/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4806/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/3008/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5696/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/1936/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4632/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/1474/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/4733/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2053/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2846/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/2448/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/2286/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3320/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/4895/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/1910/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4930/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/1847/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5751/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/1377/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3098/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3338/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/5457/10000,2,2,100.0
